"","1","2","3","4","5","6","7","8","9"
"3198",0.01,0.003,0.003,0.001,0.028,0.002,0.032,0.32,0.601
"3213",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"3237",0.014,0.003,0.003,0.001,0.023,0.002,0.038,0.365,0.551
"3257",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3268",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3283",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3299",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3312",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3334",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3357",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3384",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3409",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"3423",0.01,0.003,0.003,0.001,0.033,0.003,0.024,0.363,0.56
"3433",0.01,0.003,0.003,0.001,0.033,0.003,0.024,0.363,0.56
"3449",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3470",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3481",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3504",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3520",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3538",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3562",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3577",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3594",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3618",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3643",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3664",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3697",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3718",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"3744",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3783",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3805",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3828",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3852",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3882",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3906",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3942",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"3974",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"4017",0.008,0.003,0.01,0.001,0.045,0.002,0.035,0.313,0.583
"4048",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4069",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4088",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4108",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4123",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4149",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4184",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4211",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4241",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4263",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4282",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4307",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4321",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4341",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4373",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"4389",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4398",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4442",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4479",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4499",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4530",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4547",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4567",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4582",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4600",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4616",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4655",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4674",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"4696",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4718",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4728",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4756",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4786",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4811",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4829",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4856",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4871",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4887",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"4912",0.007,0.003,0.003,0.003,0.049,0.002,0.031,0.334,0.568
"4939",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"4960",0,0.003,0.003,0.001,0.062,0.002,0.05,0.277,0.602
"4980",0.012,0.003,0.003,0.001,0.026,0.002,0.039,0.417,0.497
"5005",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5023",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5034",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5049",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5060",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5074",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5080",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5099",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5126",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5147",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5168",0.014,0.003,0.003,0.001,0.023,0.002,0.03,0.352,0.572
"5188",0.009,0.003,0.003,0.001,0.029,0.002,0.034,0.345,0.574
"5198",0.01,0.003,0.003,0.001,0.028,0.002,0.027,0.363,0.563
"5208",0.01,0.003,0.003,0.001,0.028,0.002,0.027,0.363,0.563
"5222",0.009,0.003,0.003,0.001,0.029,0.002,0.034,0.345,0.574
"5233",0.009,0.003,0.003,0.001,0.029,0.002,0.034,0.345,0.574
"5243",0.001,0.003,0.004,0.001,0.078,0.002,0.086,0.303,0.522
"5266",0.001,0.003,0.004,0.001,0.078,0.002,0.086,0.303,0.522
"5309",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5330",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5356",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5367",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5382",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5398",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5417",0.006,0.003,0.003,0.001,0.041,0.002,0.046,0.342,0.556
"5429",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5431",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5442",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5447",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5453",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5460",0.048,0.017,0.058,0.058,0.131,0.023,0.078,0.184,0.403
"5467",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5491",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5518",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5528",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5546",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5559",0,0.003,0.002,0,0.065,0.002,0.029,0.35,0.549
"5575",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5597",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5628",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5641",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5655",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5673",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5691",0.006,0.003,0.003,0,0.047,0.002,0.034,0.337,0.568
"5705",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5724",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5750",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5763",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5785",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5804",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5819",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5826",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5852",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5876",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5896",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5913",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5934",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5953",0.051,0.017,0.058,0.059,0.132,0.023,0.078,0.184,0.398
"5962",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
